Type of Q,Question,Extracted Date,Answer,Time Period,Date Format
Factual,"Which from the following famous people died 
on 23041616? Answer only with A,B,C or D: 
A) Shah Jahan B) Miguel de Cervantes 
C) Princess Diana D) William Shakespeare",23041616,"William Shakespeare 
OR
Miguel de Cervantes",Past,DDMMYYYY
Factual,"Which from the following famous people died 
on 04231616? Answer only with A,B,C or D: 
A) Shah Jahan B) Miguel de Cervantes 
C) Princess Diana D) William Shakespeare",4231616,"William Shakespeare 
OR
Miguel de Cervantes",Past,MMDDYYYY
Factual,"Which from the following famous people died 
on 23April1616? Answer only with A,B,C or D: 
A) Shah Jahan B) Miguel de Cervantes 
C) Princess Diana D) William Shakespeare",23April1616,"William Shakespeare 
OR
Miguel de Cervantes",Past,DDMonYYYY
Factual,"Which from the following famous people died 
on 23-04-16? Answer only with A,B,C or D: 
A) Shah Jahan B) Miguel de Cervantes 
C) Princess Diana D) William Shakespeare",23-04-16,"William Shakespeare 
OR
Miguel de Cervantes",Past,DD-MM-YY
Factual,"Which from the following famous people died 
on 1616, April 23? Answer only with A,B,C or D: 
A) Shah Jahan B) Miguel de Cervantes 
C) Princess Diana D) William Shakespeare","1616, April 23","William Shakespeare 
OR
Miguel de Cervantes",Past,"YYYY, Mon DD"
Factual,"Which from the following famous people died 
on 113/1616? Answer only with A,B,C or D: 
A) Shah Jahan B) Miguel de Cervantes 
C) Princess Diana D) William Shakespeare",113/1616,"William Shakespeare 
OR
Miguel de Cervantes",Past,DD/YYYY (Julian)
Factual,"Which from the following famous people died 
on 1616/113? Answer only with A,B,C or D: 
A) Shah Jahan B) Miguel de Cervantes 
C) Princess Diana D) William Shakespeare",1616/113,"William Shakespeare 
OR
Miguel de Cervantes",Past,YYYY/DD (Julian)
Factual,Who died on 22041616?,22041616,Miguel de Cervantes,Past,DDMMYYYY
Factual,Who died on 04221616?,4221616,Miguel de Cervantes,Past,MMDDYYYY
Factual,Who died on 22April1616?,22April1616,Miguel de Cervantes,Past,DDMonYYYY
Factual,Who died on 22-04-16?,22-04-16,Miguel de Cervantes,Past,DD-MM-YY
Factual,"Who died on 1616, April 22?","1616, April 22",Miguel de Cervantes,Past,"YYYY, Mon DD"
Factual,Who died on 112/1616?,112/1616,Miguel de Cervantes,Past,DD/YYYY (Julian)
Factual,Who died on 1616/112?,1616/112,Miguel de Cervantes,Past,YYYY/DD (Julian)
Factual,Who died on 31081997?,31081997,Princess Diana,Past,DDMMYYYY
Factual,Who died on 08311997?,8311997,Princess Diana,Past,MMDDYYYY
Factual,Who died on 31August1997?,31August1997,Princess Diana,Past,DDMonYYYY
Factual,Who died on 31-08-97?,31-08-97,Princess Diana,Past,DD-MM-YY
Factual,"Who died on 1997, August 31?","1997, August 31",Princess Diana,Past,"YYYY, Mon DD"
Factual,Who died on 243/1997?,243/1997,Princess Diana,Past,DD/YYYY (Julian)
Factual,Who died on 1997/243?,1997/243,Princess Diana,Past,YYYY/DD (Julian)
Factual,Who died on 22011666?,22011666,Shah Jahan,Past,DDMMYYYY
Factual,Who died on 01221666?,1221666,Shah Jahan,Past,MMDDYYYY
Factual,Who died on 22January1666?,22January1666,Shah Jahan,Past,DDMonYYYY
Factual,Who died on 22-01-66?,22-01-66,Shah Jahan,Past,DD-MM-YY
Factual,"Who died on 1666, January 22?","1666, January 22",Shah Jahan,Past,"YYYY, Mon DD"
Factual,Who died on 22/1666?,22/1666,Shah Jahan,Past,DD/YYYY (Julian)
Factual,Who died on 1666/22?,1666/22,Shah Jahan,Past,YYYY/DD (Julian)
Conceptual,"The first iPhone was released on 29062007. 
How many years has it been since it's release?",29062007,17 years,Present,DDMMYYYY
Conceptual,"The first iPhone was released on 06292007. 
How many years has it been since it's release?",6292007,17 years,Present,MMDDYYYY
Conceptual,"The first iPhone was released on 29June2007. 
How many years has it been since it's release?",29June2007,17 years,Present,DDMonYYYY
Conceptual,"The first iPhone was released on 29-06-07. 
How many years has it been since it's release?",29-06-07,17 years,Present,DD-MM-YY
Conceptual,"The first iPhone was released on 2007, June 29. 
How many years has it been since it's release?","2007, June 29",17 years,Present,"YYYY, Mon DD"
Conceptual,"The first iPhone was released on 180/2007. 
How many years has it been since it's release?",180/2007,17 years,Present,DD/YYYY (Julian)
Conceptual,"The first iPhone was released on 2007/180. 
How many years has it been since it's release?",2007/180,17 years,Present,YYYY/DD (Julian)
Conceptual,"The Effiel Tower was completed on 31031889. 
How many years has it been since its completion?",31031889,135 years,Past,DDMMYYYY
Conceptual,"The Effiel Tower was completed on 03311889. 
How many years has it been since its completion?",3311889,135 years,Past,MMDDYYYY
Conceptual,"The Effiel Tower was completed on 31March1889. 
How many years has it been since its completion?",31March1889,135 years,Past,DDMonYYYY
Conceptual,"The Effiel Tower was completed on 31-03-89. 
How many years has it been since its completion?",31-03-89,135 years,Past,DD-MM-YY
Conceptual,"The Effiel Tower was completed on 1889, March 31. 
How many years has it been since its completion?","1889, March 31",135 years,Past,"YYYY, Mon DD"
Conceptual,"The Effiel Tower was completed on 090/1889. 
How many years has it been since its completion?",090/1889,135 years,Past,DD/YYYY (Julian)
Conceptual,"The Effiel Tower was completed on 1889/090. 
How many years has it been since its completion?",1889/090,135 years,Past,YYYY/DD (Julian)
Conceptual,"The Effiel Tower was built between 28011887 
to 31031889. How long did it take to build 
the Effiel Tower?",[ 28011887 | 31031889 ],"2 years, 2 months, and 
3 days",Past,DDMMYYYY
Conceptual,"The Effiel Tower was built between 01281887 
to 03311889. How long did it take to build 
the Effiel Tower?",[ 01281887 | 03311889 ],"2 years, 2 months, and 
3 days",Past,MMDDYYYY
Conceptual,"The Effiel Tower was built between 28January1887 
to 31March1889. How long did it take to build 
the Effiel Tower?",[ 28January1887 | 31March1889 ],"2 years, 2 months, and 
3 days",Past,DDMonYYYY
Conceptual,"The Effiel Tower was built between 28-01-87 
to 31-03-89. How long did it take to build 
the Effiel Tower?",[ 28-01-87 | 31-03-89 ],"2 years, 2 months, and 
3 days",Past,DD-MM-YY
Conceptual,"The Effiel Tower was built between 1887, January 28 
to 1889, March 31. How long did it take to build 
the Effiel Tower?","[ 1887, January 28 | 1889, March 31 ]","2 years, 2 months, and 
3 days",Past,"YYYY, Mon DD"
Conceptual,"The Effiel Tower was built between 028/1887 
to 090/1889. How long did it take to build 
the Effiel Tower?",[ 028/1887 | 090/1889 ],"2 years, 2 months, and 
3 days",Past,DD/YYYY (Julian)
Conceptual,"The Effiel Tower was built between 1887/028 
to 1889/090. How long did it take to build 
the Effiel Tower?",[ 1887/028 | 1889/090 ],"2 years, 2 months, and 
3 days",Past,YYYY/DD (Julian)
Conceptual,"The Effiel Tower started its construction in 
28011887. How long has it been since then?",28011887,137 years,Past,DDMMYYYY
Conceptual,"The Effiel Tower started its construction in 
01281887. How long has it been since then?",1281887,137 years,Past,MMDDYYYY
